session_id,msg_id,elapsed_sec,status
0,0,0.5067503452301025,200
0,1,0.07998490333557129,200
0,2,0.06677508354187012,200
0,3,0.35874485969543457,200
0,4,0.18491601943969727,200
1,0,0.5025668144226074,200
1,1,0.06572222709655762,200
1,2,0.07094860076904297,200
1,3,0.06356382369995117,200
1,4,0.06515264511108398,200
2,0,0.5392441749572754,200
2,1,0.08491301536560059,200
2,2,0.06569743156433105,200
2,3,0.06542396545410156,200
2,4,0.06908416748046875,200
3,0,0.6594259738922119,200
3,1,0.358168363571167,200
3,2,0.2369537353515625,200
3,3,0.06577181816101074,200
3,4,0.24752211570739746,200
4,0,0.544511079788208,200
4,1,0.15625834465026855,200
4,2,0.0664069652557373,200
4,3,0.0735158920288086,200
4,4,0.06419730186462402,200
5,0,0.5014469623565674,200
5,1,0.06649923324584961,200
5,2,0.06996369361877441,200
5,3,0.3673696517944336,200
5,4,0.06459617614746094,200
6,0,0.5266427993774414,200
6,1,0.08168435096740723,200
6,2,0.22731423377990723,200
6,3,0.06438851356506348,200
6,4,0.06603217124938965,200
7,0,0.530320405960083,200
7,1,0.1480696201324463,200
7,2,0.07097649574279785,200
7,3,0.06697821617126465,200
7,4,0.06486201286315918,200
8,0,0.5188024044036865,200
8,1,0.11041736602783203,200
8,2,0.06450009346008301,200
8,3,0.8527629375457764,200
8,4,0.06412506103515625,200
9,0,0.5414454936981201,200
9,1,0.08636236190795898,200
9,2,0.47417402267456055,200
9,3,0.06599926948547363,200
9,4,0.06400537490844727,200
10,0,0.99452805519104,200
10,1,0.06391692161560059,200
10,2,0.06459689140319824,200
10,3,0.2130875587463379,200
10,4,0.41875123977661133,200
11,0,0.5236451625823975,200
11,1,0.08212113380432129,200
11,2,0.22156596183776855,200
11,3,0.31925010681152344,200
11,4,0.06498908996582031,200
12,0,0.5341403484344482,200
12,1,0.07543802261352539,200
12,2,0.07672786712646484,200
12,3,0.06536698341369629,200
12,4,0.06238365173339844,200
13,0,0.5242664813995361,200
13,1,0.07533025741577148,200
13,2,0.07043695449829102,200
13,3,0.06344151496887207,200
13,4,0.06289911270141602,200
14,0,0.9944865703582764,200
14,1,0.06327319145202637,200
14,2,0.06313586235046387,200
14,3,0.06432437896728516,200
14,4,0.12830781936645508,200
15,0,0.5302350521087646,200
15,1,0.09964346885681152,200
15,2,0.06627559661865234,200
15,3,0.06398224830627441,200
15,4,0.07253599166870117,200
16,0,0.5227718353271484,200
16,1,0.07494688034057617,200
16,2,0.07178044319152832,200
16,3,0.0651698112487793,200
16,4,0.7263031005859375,200
17,0,0.9948885440826416,200
17,1,0.07155156135559082,200
17,2,0.06334686279296875,200
17,3,0.20700597763061523,200
17,4,0.06407380104064941,200
18,0,0.6513934135437012,200
18,1,0.06375885009765625,200
18,2,0.7700910568237305,200
18,3,0.2692539691925049,200
18,4,0.06345129013061523,200
19,0,0.5411944389343262,200
19,1,0.10319757461547852,200
19,2,0.06606459617614746,200
19,3,0.8332536220550537,200
19,4,0.06562495231628418,200
20,0,0.5329732894897461,200
20,1,0.07579684257507324,200
20,2,0.06494283676147461,200
20,3,0.0639350414276123,200
20,4,0.06198596954345703,200
21,0,0.5179719924926758,200
21,1,0.06671285629272461,200
21,2,0.06383395195007324,200
21,3,0.06656742095947266,200
21,4,0.06433463096618652,200
22,0,0.9951984882354736,200
22,1,0.06748056411743164,200
22,2,0.642474889755249,200
22,3,0.06524920463562012,200
22,4,0.06520891189575195,200
23,0,0.5063860416412354,200
23,1,0.09245443344116211,200
23,2,0.0753164291381836,200
23,3,0.8694331645965576,200
23,4,0.0711219310760498,200
24,0,0.4993464946746826,200
24,1,0.06385612487792969,200
24,2,0.062352895736694336,200
24,3,0.06489205360412598,200
24,4,0.7598106861114502,200
25,0,0.5012009143829346,200
25,1,0.06584382057189941,200
25,2,0.34393835067749023,200
25,3,0.06362318992614746,200
25,4,0.06814122200012207,200
26,0,0.5156540870666504,200
26,1,0.06638336181640625,200
26,2,0.07515811920166016,200
26,3,0.7320132255554199,200
26,4,0.36214113235473633,200
27,0,0.641061544418335,200
27,1,0.06601643562316895,200
27,2,0.06374025344848633,200
27,3,0.3667466640472412,200
27,4,0.06507730484008789,200
28,0,0.641930103302002,200
28,1,0.0648190975189209,200
28,2,0.0638887882232666,200
28,3,0.7752270698547363,200
28,4,0.07007360458374023,200
29,0,0.5006363391876221,200
29,1,0.49390387535095215,200
29,2,0.06542134284973145,200
29,3,0.06487154960632324,200
29,4,0.06416583061218262,200
30,0,0.49959325790405273,200
30,1,0.07806730270385742,200
30,2,0.07864117622375488,200
30,3,0.06546783447265625,200
30,4,0.06470060348510742,200
31,0,0.49823951721191406,200
31,1,0.07664966583251953,200
31,2,0.07044124603271484,200
31,3,0.06368541717529297,200
31,4,0.06222343444824219,200
32,0,0.5015280246734619,200
32,1,0.06675171852111816,200
32,2,0.07615780830383301,200
32,3,0.7437393665313721,200
32,4,0.06531858444213867,200
33,0,0.49849390983581543,200
33,1,0.07764530181884766,200
33,2,0.0745077133178711,200
33,3,0.068389892578125,200
33,4,0.32145047187805176,200
34,0,0.5254316329956055,200
34,1,0.07809805870056152,200
34,2,0.31711411476135254,200
34,3,0.06401848793029785,200
34,4,0.06467938423156738,200
35,0,0.5262203216552734,200
35,1,0.08674836158752441,200
35,2,0.06460714340209961,200
35,3,0.06448674201965332,200
35,4,0.0636284351348877,200
36,0,0.5267808437347412,200
36,1,0.06594252586364746,200
36,2,0.06740951538085938,200
36,3,0.12985992431640625,200
36,4,0.062227725982666016,200
37,0,0.523949384689331,200
37,1,0.08093810081481934,200
37,2,0.07694029808044434,200
37,3,0.3081488609313965,200
37,4,0.0662376880645752,200
38,0,0.5175778865814209,200
38,1,0.07506561279296875,200
38,2,0.07243990898132324,200
38,3,0.065277099609375,200
38,4,0.06549739837646484,200
39,0,0.6418447494506836,200
39,1,0.07334733009338379,200
39,2,0.06319355964660645,200
39,3,0.06356525421142578,200
39,4,0.06581473350524902,200
40,0,0.5239334106445312,200
40,1,0.47598791122436523,200
40,2,0.06391048431396484,200
40,3,0.06807994842529297,200
40,4,0.06357526779174805,200
41,0,0.9769957065582275,200
41,1,0.06418871879577637,200
41,2,0.06286501884460449,200
41,3,0.0635530948638916,200
41,4,0.23720860481262207,200
42,0,0.6429400444030762,200
42,1,0.0765380859375,200
42,2,0.06382155418395996,200
42,3,0.06738448143005371,200
42,4,0.06796836853027344,200
